MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2009,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - SMALL,2.9,4,M5,X,13.5,10.1,12,24,276
2009,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.3,10.5,12.6,22,290
2009,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - SMALL,5.3,8,A4,X,16.5,12.5,14.7,19,338
2009,CHEVROLET,COLORADO CHASSIS CAB,PICKUP TRUCK - SMALL,3.7,5,A4,X,15.4,11.9,13.8,20,317
2009,CHEVROLET,COLORADO CHASSIS CAB 4X4,PICKUP TRUCK - SMALL,3.7,5,A4,X,15,11.1,13.2,21,304
2009,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,2.9,4,A4,X,13,9.9,11.6,24,267
2009,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,2.9,4,M5,X,13.1,9.7,11.6,24,267
2009,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.2,10.4,12.5,23,288
2009,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,5.3,8,A4,X,15.2,11.3,13.5,21,311
2009,CHEVROLET,COLORADO CREW CAB 4X4,PICKUP TRUCK - SMALL,3.7,5,A4,X,15,11.1,13.2,21,304
2009,CHEVROLET,COLORADO CREW CAB 4X4,PICKUP TRUCK - SMALL,5.3,8,A4,X,16.5,12.5,14.7,19,338
2009,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,16,9.6,13.1,22,301
2009,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M6,Z,14.5,9.1,12.1,23,278
2009,CHEVROLET,CORVETTE,TWO-SEATER,7,8,M6,Z,15.9,9.7,13.1,22,301
2009,CHEVROLET,CORVETTE #,TWO-SEATER,6.2,8,M6,Z,17.3,12,14.9,19,343
2009,CHEVROLET,EQUINOX,SUV,3.4,6,A5,X,13.7,9.8,12,24,276
2009,CHEVROLET,EQUINOX,SUV,3.6,6,AS6,X,14.2,9.9,12.3,23,283
2009,CHEVROLET,EQUINOX AWD,SUV,3.4,6,A5,X,13.7,9.8,12,24,276
2009,CHEVROLET,EQUINOX AWD,SUV,3.6,6,AS6,X,14.6,9.8,12.4,23,285
2009,CHEVROLET,EXPRESS CARGO,VAN - CARGO,4.3,6,A4,X,15.7,11.8,14,20,322
2009,CHEVROLET,EXPRESS CARGO,VAN - CARGO,5.3,8,A4,X,17.1,13.1,15.3,18,352
2009,CHEVROLET,EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,X,17.3,13.8,15.8,18,363
2009,CHEVROLET,EXPRESS CARGO AWD FFV,VAN - CARGO,5.3,8,A4,X,17.3,13.8,15.8,18,363
2009,CHEVROLET,EXPRESS CARGO AWD FFV,VAN - CARGO,5.3,8,A4,E,23.5,19,21.5,13,344
2009,CHEVROLET,EXPRESS CARGO CONV,VAN - CARGO,5.3,8,A4,X,18,13.7,16.1,18,370
